,Идентификатор Scopus,Автор,Публикаций Scopus за 2020,Высокорейтинговых публикаций за 2020,Цитирований за 2020,Публикаций Scopus за 2021,Высокорейтинговых публикаций за 2021,Цитирований за 2021,Публикаций Scopus за 2022,Высокорейтинговых публикаций за 2022,Цитирований за 2022,Публикаций Scopus за 2020-2022,Высокорейтинговых публикаций за 2020-2022,Цитирований за 2020 - 2022,Цветков П.С. был процитирован,Бабырь Н.В. был процитирован
463,57204217965,Bagautdinov I.I.,2,0,0,0,0,1,1,0,0,3,0,1,0,0
464,57204336384,Kornev A.V.,0,0,0,3,2,1,2,1,18,5,3,19,0,1
465,57204365469,Koltsova E.A.,0,0,0,0,0,0,3,1,2,3,1,2,0,0
466,57204562105,Konoplin R.R.,0,0,0,1,0,0,2,1,18,3,1,18,0,0
467,57204568727,Smyshlyaeva K.I.,0,0,0,3,2,1,2,2,29,5,4,30,2,0
468,57204582155,Eremeeva A.,3,0,0,1,1,3,2,1,22,6,2,25,1,1
469,57204657838,Shestakova I.,0,0,0,1,1,0,4,2,2,5,3,2,0,0
470,57204696666,Oblova I.S.,3,1,0,1,1,5,2,2,7,6,4,12,0,0
471,57204703955,Afanaseva O.V.,2,0,0,1,0,4,3,1,17,6,1,21,1,0
472,57204704967,Ovchinnikova E.N.,2,0,0,0,0,1,1,1,0,3,1,1,0,0
473,57204705171,Potemkin V.A.,1,0,1,1,1,1,0,0,3,2,1,5,0,0
474,57204706449,Asadulagi M.-A.M.,0,0,0,0,0,0,2,1,0,2,1,0,0,0
475,57204707110,Buldysko A.,1,0,1,4,2,9,0,0,71,5,2,81,4,0
476,57204709040,Matveev V.P.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
477,57204709387,Batueva D.E.,0,0,0,3,1,3,1,1,27,4,2,30,2,0
478,57204710187,Yachmenova L.A.,0,0,0,1,1,0,1,1,1,2,2,1,0,0
479,57204710928,Ivanov M.A.,1,1,0,2,1,0,0,0,1,3,2,1,0,0
480,57204711157,Goncharova M.,0,0,0,0,0,0,1,1,0,1,1,0,0,0
481,57204711402,Zuev B.Y.,2,0,0,1,1,3,0,0,5,3,1,8,0,0
482,57204824394,Volkodaeva M.V.,1,1,0,1,0,1,1,0,1,3,1,2,0,0
483,57204828661,Kholmskiy A.V.,1,0,0,0,0,0,1,1,2,2,1,2,0,0
484,57204830413,Shikhov A.I.,1,0,0,3,0,5,1,1,6,5,1,11,0,1
485,57204831962,Trushnikov V.E.,4,0,0,0,0,2,1,0,1,5,0,3,0,0
486,57204832264,Zaripova N.А.,0,0,0,3,1,0,0,0,2,3,1,2,0,0
487,57204835864,Vatlina A.M.,0,0,0,3,1,2,0,0,2,3,1,4,0,0
488,57204838736,Khudyakova I.N.,0,0,0,1,0,1,1,1,5,2,1,6,0,0
489,57204842378,Babyr N.,1,0,0,4,1,7,3,2,66,8,3,73,2,8
490,57204843428,Lyakh D.D.,0,0,0,0,0,0,1,1,5,1,1,5,0,0
491,57204847670,Vagapova E.A.,0,0,0,1,0,1,0,0,0,1,0,1,0,0
492,57204851451,Nazarova M.N.,4,0,3,1,0,8,0,0,5,5,0,16,0,0
493,57204866216,Brichkin V.N.,7,2,2,6,1,19,3,0,30,16,3,51,0,0
494,57204907537,Kudinova A.A.,0,0,0,1,0,0,1,1,3,2,1,3,1,0
495,57204932155,Kondakova V.N.,2,0,0,1,0,0,1,1,7,4,1,7,0,0
496,57205045969,Pasynkov A.,2,0,1,0,0,6,0,0,3,2,0,10,0,0
497,57205082977,Kornilov Y.N.,2,0,0,1,0,1,0,0,0,3,0,1,0,0
498,57205114915,Derkunskii I.O.,0,0,0,0,0,0,1,1,1,1,1,1,0,0
499,57205114918,Gabdulkhakov R.R.,2,1,0,3,2,7,6,2,49,11,5,56,1,0
500,57205144384,Sobyanina D.O.,0,0,0,2,1,0,1,0,2,3,1,2,0,0
501,57205158690,Beloglazov I.I.,4,2,1,5,2,20,4,1,91,13,5,112,0,0
502,57205165624,Grebneva A.,0,0,0,2,1,1,0,0,2,2,1,3,0,0
503,57205193466,Alferova D.A.,2,1,0,0,0,3,0,0,0,2,1,3,0,0
504,57205193653,Chudakova N.V.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
505,57205193765,Ivanova P.,2,1,0,6,1,7,2,1,6,10,3,13,1,0
506,57205194154,Volchikhina A.A.,0,0,0,1,1,0,0,0,0,1,1,0,0,0
507,57205195970,Schipachev A.M.,4,0,0,4,1,4,4,2,7,12,3,11,4,3
508,57205197989,Kuvshinkin S.Y.,1,1,0,1,0,5,0,0,5,2,1,10,0,0
509,57205199980,Leontyuk S.M.,0,0,0,1,0,0,0,0,0,1,0,0,0,0
510,57205200769,Zakirova G.S.,0,0,0,1,0,0,0,0,0,1,0,0,0,0
511,57205202235,Gromyka D.S.,1,0,0,3,1,3,1,0,3,5,1,6,0,0
512,57205246063,Suvorova Z.V.,0,0,0,1,1,0,0,0,2,1,1,2,0,0
513,57205284936,Sandyga M.S.,2,1,7,0,0,12,0,0,20,2,1,39,0,0
514,57205335882,Gerasimova I.G.,3,1,0,1,1,5,3,2,8,7,4,13,0,0
515,57205427009,Kunshin A.,2,0,0,3,1,21,1,1,36,6,2,57,2,0
516,57205492633,Alexeev A.I.,2,1,1,1,1,8,1,0,9,4,2,18,0,0
517,57205543608,Korelskiy D.S.,1,0,2,2,0,2,0,0,3,3,0,7,0,0
518,57205566125,Evseeva O.,1,0,0,2,2,4,0,0,12,3,2,16,0,0
519,57205571393,Plashchinsky V.A.,2,1,0,2,1,2,1,1,21,5,3,23,0,0
520,57205576928,Ganzulenko O.Y.,3,0,0,1,0,2,1,0,1,5,0,3,0,0
521,57205581018,Chirkova O.S.,1,0,0,0,0,0,0,0,1,1,0,1,0,0
522,57205584461,Sundurov A.V.,0,0,0,2,1,1,0,0,1,2,1,2,0,0
523,57205586301,Konchus D.,2,0,0,2,1,0,1,0,9,5,1,9,0,0
524,57205587834,Yacheikin A.I.,2,0,0,2,2,1,0,0,10,4,2,11,0,0
525,57205616190,Lukyantseva E.S.,0,0,0,2,1,1,0,0,2,2,1,3,0,0
526,57205638534,Do N.-H.,3,2,12,0,0,33,0,0,33,3,2,78,0,0
527,57205743011,Bazhukov A.A.,0,0,0,1,1,0,0,0,0,1,1,0,0,0
